实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
Emporia,GPE,1,,,"the community,” while the
Weekly News-Democrat
of Emporia, Kansas wrote on March 12, 1880 that “It has beco"
Kansas,GPE,1,,,"nity,” while the
Weekly News-Democrat
of Emporia, Kansas wrote on March 12, 1880 that “It has become liter"
Sam Loyd,PERSON,1,,,"r the country.”
The famous American game designer Sam Loyd falsely claimed to have invented the 15 puzzle (L"
Loyd,PERSON,1,,,"d falsely claimed to have invented the 15 puzzle (Loyd, 1959); actually it was invented by Noyes Chapman"
Noyes Chapman,PERSON,1,,," puzzle (Loyd, 1959); actually it was invented by Noyes Chapman, a postmaster in Canastota, New York, in the mid-"
Canastota,GPE,1,,,"it was invented by Noyes Chapman, a postmaster in Canastota, New York, in the mid-1870s (although a generic p"
Ernest Kinsey,PERSON,1,,,ric patent covering sliding blocks was granted to Ernest Kinsey in 1878). Ratner and Warmuth (1986) showed that t
Ratner,ORG,1,,,"ing blocks was granted to Ernest Kinsey in 1878). Ratner and Warmuth (1986) showed that the general
n
×
n
"
Warmuth,PERSON,1,,,"was granted to Ernest Kinsey in 1878). Ratner and Warmuth (1986) showed that the general
n
×
n
version of t"
Ernő Rubik,PERSON,1,,,"Rubik’s Cube was of course invented in 1974 by Ernő Rubik, who also discovered an algorithm for finding goo"
Korf,PERSON,6,,,"ithm for finding good, but not optimal solutions. Korf (1997) found optimal solutions for some random pr"
Agostinelli,PERSON,1,,,"s not lead immediately to an efficient algorithm. Agostinelli
et al."
Monte Carlo,PERSON,1,,,"inforcement learning, deep learning networks, and Monte Carlo tree search to learn a much more efficient solver"
Rubik,ORG,1,,, search to learn a much more efficient solver for Rubik’s cube. It is not guaranteed to find a cost-optim
Carl de Marcken,PERSON,1,,,"flights remain proprietary for the most part, but Carl de Marcken has shown by a reduction to Diophantine decision "
Robinson,PERSON,1,,,"ecting an optimal flight is formally
undecidable
(Robinson, 2002). The traveling salesperson problem (TSP) i"
Lawler,PERSON,1,,,"natorial problem in theoretical computer science (Lawler
et al.,
1992). Karp (1972) proved the TSP decisio"
TSP,ORG,2,,,"nce (Lawler
et al.,
1992). Karp (1972) proved the TSP decision problem to be NP-hard, but effective heu"
Lin,PERSON,2,,,"e heuristic approximation methods were developed (Lin and Kernighan, 1973). Arora (1998) devised a full"
Kernighan,GPE,1,,,"tic approximation methods were developed (Lin and Kernighan, 1973). Arora (1998) devised a fully polynomial a"
Arora,PERSON,2,,,"methods were developed (Lin and Kernighan, 1973). Arora (1998) devised a fully polynomial approximation s"
LaPaugh,ORG,1,,,"clidean TSPs. VLSI layout methods are surveyed by LaPaugh (2010), and many layout optimization papers appea"
VLSI,ORG,3,,,"0), and many layout optimization papers appear in VLSI journals. Robotic navigation is discussed in
Chap"
"F
REDDY
",PRODUCT,1,,,"tic assembly sequencing was first demonstrated by F
REDDY
(Michie, 1972); a comprehensive review is given by"
Michie,PERSON,4,,,"bly sequencing was first demonstrated by F
REDDY
(Michie, 1972); a comprehensive review is given by (Bahub"
Bahubalendruni,PERSON,1,,,"ichie, 1972); a comprehensive review is given by (Bahubalendruni and Biswal, 2016)."
Biswal,ORG,1,,,"prehensive review is given by (Bahubalendruni and Biswal, 2016)."
Dreyfus,ORG,1,,,"e (Cormen
et al
., 2009) and operations research (Dreyfus, 1969). Breadth-first search was formulated for s"
Moore,PERSON,1,,,-first search was formulated for solving mazes by Moore (1959). The method of dynamic programming (Bellma
Bellman and Dreyfus,ORG,1,,,"The method of dynamic programming (Bellman, 1957; Bellman and Dreyfus, 1962), which systematically records solutions fo"
Barr,PERSON,1,,,"ST
-S
EARCH
was introduced in the
Handbook of AI
(Barr and Feigenbaum, 1981). The Floyd–Warshall (Floyd,"
The Floyd–Warshall,ORG,1,,,"n the
Handbook of AI
(Barr and Feigenbaum, 1981). The Floyd–Warshall (Floyd, 1962) and Bellman-Ford (Bellman, 1958; Fo"
Bellman-Ford,ORG,1,,,"baum, 1981). The Floyd–Warshall (Floyd, 1962) and Bellman-Ford (Bellman, 1958; Ford, 1956) algorithms allow nega"
Slate,ORG,1,,,"fficient use of the chess clock was first used by Slate and Atkin (1977) in the C
HESS
4.5 game-playing p"
Atkin,GPE,1,,,"se of the chess clock was first used by Slate and Atkin (1977) in the C
HESS
4.5 game-playing program. Ma"
Martelli’s,PERSON,1,,,"in (1977) in the C
HESS
4.5 game-playing program. Martelli’s algorithm B (1977) also includes an iterative dee"
Bertram Raphael,PERSON,1,,,e iterative deepening technique was introduced by Bertram Raphael (1976) and came to the fore in work by Korf (1985
Newell and Ernst,ORG,1,,,"ate the distance to the goal came somewhat later (Newell and Ernst, 1965; Lin, 1965). Doran and Michie (1966) conduc"
Doran,PERSON,2,,,"mewhat later (Newell and Ernst, 1965; Lin, 1965). Doran and Michie (1966) conducted extensive experimenta"
Hart,ORG,1,,,"path cost into heuristic search, was developed by Hart, Nilsson, and Raphael (1968). Dechter and Pearl ("
Raphael,PERSON,1,,,"istic search, was developed by Hart, Nilsson, and Raphael (1968). Dechter and Pearl (1985) studied the cond"
Pohl,PERSON,1,,,"nctions. The monotone condition was introduced by Pohl (1977) as a simpler replacement, but Pearl (1984)"
Gaschnig,PERSON,2,,,"action costs and a single goal state (Pohl, 1977; Gaschnig, 1979; Huyn
et al.,
1980; Pearl, 1984) and with m"
Pearl,GPE,2,,,"e (Pohl, 1977; Gaschnig, 1979; Huyn
et al.,
1980; Pearl, 1984) and with multiple goal states (Dinh
et al."
Helmert,PERSON,1,,,"mpirical measure of efficiency. For graph search, Helmert and Röger (2008)
noted that several well-known pr"
Röger,PERSON,1,,,"sure of efficiency. For graph search, Helmert and Röger (2008)
noted that several well-known problems con"
Ebendt,PERSON,1,,,re the weight changes over the depth of the tree. Ebendt and Drechsler (2009) synthesize the results and e
Drechsler,PERSON,1,,,ht changes over the depth of the tree. Ebendt and Drechsler (2009) synthesize the results and examine some ap
Ruml,PERSON,3,,, results and examine some applications. Hatem and Ruml (2014) show a simplified and improved version of 
NBS,ORG,1,,,"irectional search can be optimally efficient. The NBS algorithm (Chen
et al."
Chen,PERSON,1,,,"ch can be optimally efficient. The NBS algorithm (Chen
et al."
al,ORG,4,,,"e optimally efficient. The NBS algorithm (Chen
et al."
Knoblock,PERSON,1,,,e-to-fine search provides an exponential speedup. Knoblock (1991) provides experimental results and analysis
Lawler and Wood,ORG,1,,,"ques that are widely used in operations research (Lawler and Wood, 1966; Rayward-Smith
et al."
Rayward-Smith,PERSON,1,,,"ed in operations research (Lawler and Wood, 1966; Rayward-Smith
et al."
Kumar,PERSON,1,,,", 1996). Kumar and Kanal (1988) attempt a “grand unification” of"
Kanal,ORG,1,,,", 1996). Kumar and Kanal (1988) attempt a “grand unification” of heuristic"
CDP,ORG,1,,,"and branch-and-bound techniques under the name of CDP—the “composite decision process.”
Because most co"
The Graph Traverser,PERSON,1,,,"ded heuristic search was an early research topic. The Graph Traverser (Doran and Michie, 1966), one of the earliest sea"
Patrick,GPE,1,,,"fficulties with real-valued heuristics appears in Patrick
et al."
Bratko’s,ORG,1,,, of the best alternative path appeared earlier in Bratko’s (2009) elegant Prolog implementation of A* and in
Russell and Wefald,WORK_OF_ART,1,,,"g implementation of A* and in the DTA* algorithm (Russell and Wefald, 1991). The latter work also discusses metalevel "
Chakrabarti,GPE,1,,,"The MA* algorithm appeared in Chakrabarti
et al."
Simplified MA*,PERSON,1,,,"(1989). SMA*, or Simplified MA*, emerged from an attempt to implement MA* (Russel"
MA*,ORG,1,,,"plified MA*, emerged from an attempt to implement MA* (Russell, 1992). Kaindl and Khorsand (1994) appli"
Khorsand,GPE,1,,,"empt to implement MA* (Russell, 1992). Kaindl and Khorsand (1994) applied SMA* to produce a bidirectional se"
Zhang,PERSON,1,,,"ntially faster than previous algorithms. Korf and Zhang (2000) describe a divide-and-conquer approach, an"
Zhou,PERSON,2,,,"2000) describe a divide-and-conquer approach, and Zhou and Hansen (2002) introduce memory-bounded A* gra"
Hansen,PERSON,4,,,"cribe a divide-and-conquer approach, and Zhou and Hansen (2002) introduce memory-bounded A* graph search a"
Samadi,PRODUCT,1,,,"machine learning to discover heuristic functions (Samadi
et al.,
2008; Arfaee
et al.,
2010; Thayer
et al."
Arfaee,PERSON,1,,,"iscover heuristic functions (Samadi
et al.,
2008; Arfaee
et al.,
2010; Thayer
et al."
Thayer,PERSON,1,,,"ctions (Samadi
et al.,
2008; Arfaee
et al.,
2010; Thayer
et al."
Lelis,GPE,1,,,", 2011; Lelis
et al.,
2012)."
Gasser,PERSON,1,,,"tabases to derive admissible heuristics is due to Gasser (1995) and Culberson and Schaeffer (1996, 1998); "
Culberson,ORG,1,,,"admissible heuristics is due to Gasser (1995) and Culberson and Schaeffer (1996, 1998); disjoint pattern data"
Schaeffer,PERSON,1,,,"ristics is due to Gasser (1995) and Culberson and Schaeffer (1996, 1998); disjoint pattern databases are desc"
Korf and Felner (2002,ORG,1,,,998); disjoint pattern databases are described by Korf and Felner (2002); a similar method using symbolic patterns is due
Hansson,PERSON,1,,,f heuristics was investigated by Pearl (1984) and Hansson and Mayer (1989).
Mayer,PERSON,1,,, was investigated by Pearl (1984) and Hansson and Mayer (1989).
Edelkamp and Schrödl’s,WORK_OF_ART,1,,,"Pearl’s (1984)
Heuristics
and Edelkamp and Schrödl’s (2012)
Heuristic Search
are influential textbooks"
Heuristic Search,ORG,1,,,"984)
Heuristics
and Edelkamp and Schrödl’s (2012)
Heuristic Search
are influential textbooks on search. Papers about"
the International Conference on Automated Planning and Scheduling,ORG,1,,,"onal Symposium on Combinatorial Search (SoCS) and the International Conference on Automated Planning and Scheduling (ICAPS), as well as in general AI conferences suc"
ICAPS,ORG,1,,," Conference on Automated Planning and Scheduling (ICAPS), as well as in general AI conferences such as AA"
IJCAI,ORG,1,,,"ell as in general AI conferences such as AAAI and IJCAI, and journals such as
Artificial Intelligence
and"
Journal of the ACM,ORG,1,,," and journals such as
Artificial Intelligence
and
Journal of the ACM."
Floyd–Warshall,PERSON,1,,,an infinite number of times. The Bellman–Ford and Floyd–Warshall algorithms (not covered here) handle negative-cos
Zeno’s,PERSON,1,,,trarily small action costs. Consider a version of Zeno’s paradox where there is an action to move half way
Search and Optimization Problems,ORG,1,,,"4.1Local Search and Optimization Problems
4.1
Local Search and Optimization Problems
In the"
Local Search and Optimization Problems,ORG,1,,,"4.1Local Search and Optimization Problems
4.1
Local Search and Optimization Problems
In the search problems of
Chapter 3
we wanted to "
Hill,PERSON,5,,,"4.1.1
Hill-climbing search
The
hill-climbing
search algorith"
Success,ORG,1,,,nstances solved by hill climbing from 14% to 94%. Success comes at a cost: the algorithm averages roughly 2
maxima,PRODUCT,3,,,"the state-space landscape: if there are few local maxima and plateaus, random-restart hill climbing will f"
Appendix A,PERSON,1,,,p of each porcupine needle. NP-hard problems (see Appendix A) typically have an exponential number of local ma
harden,GPE,1,,,"lurgy,
annealing
is the process used to temper or harden metals and glass by heating them to a high temper"
minima,PRODUCT,1,,, just hard enough to bounce the ball out of local minima but not hard enough to dislodge it from the globa
Boltzmann,PERSON,1,,,"wers
T
to 0 slowly enough, then a property of the Boltzmann distribution,
e
∆
E/T
, is that
all the probabili"
Selection,ORG,1,,," is labeled Initial population, Fitness function, Selection, Cross over, and Mutation. The four 8-digit strin"
Loop,ORG,3,,, node with an arc point to states 5 and 1 labeled Loop. A bold arrow from the fourth node points to stat
Left,PRODUCT,1,,,"old arrow labeled Suck, and a light arrow labeled Left from state 6 points to the seventh and eighth nod"
Charles Darwin,PERSON,1,,,"d Search
The theory of
evolution
was developed by Charles Darwin in
On the Origin of Species by Means of Natural S"
the Origin of Species,ORG,1,,,"f
evolution
was developed by Charles Darwin in
On the Origin of Species by Means of Natural Selection
(1859) and independ"
Alfred Russel Wallace,PERSON,1,,," of Natural Selection
(1859) and independently by Alfred Russel Wallace (1858). The central idea is simple: variations oc"
Darwin,PERSON,1,,,Darwin’s theory was developed with no knowledge of how t
Gregor Mendel,PERSON,1,,,"overning these processes were first identified by Gregor Mendel (1866), a monk who experimented with sweet peas. "
Watson,PERSON,1,,,"onk who experimented with sweet peas. Much later, Watson and Crick (1953) identified the structure of the "
Crick,PERSON,1,,,"erimented with sweet peas. Much later, Watson and Crick (1953) identified the structure of the DNA molecu"
AGTC,ORG,1,,,"e structure of the DNA molecule and its alphabet, AGTC (adenine, guanine, thymine, cytosine). In the sta"
Jean Lamarck,PERSON,1,,,n. Although the otherwise great French naturalist Jean Lamarck (1809) was wrong to propose that traits acquired 
James Baldwin’s,PERSON,1,,,"m’s lifetime would be passed on to its offspring, James Baldwin’s (1896) superficially similar theory is correct: l"
Hinton and,ORG,2,,,"n a way that is beneficial. Computer simulations (Hinton and Nowlan, 1987) confirm that this
Baldwin effect
is"
Nowlan,ORG,2,,,"t is beneficial. Computer simulations (Hinton and Nowlan, 1987) confirm that this
Baldwin effect
is real, "
Baldwin,PERSON,2,,,"tions (Hinton and Nowlan, 1987) confirm that this
Baldwin effect
is real, and that a consequence is that th"
Morgan,PERSON,2,,,"ngs that are easy to learn need not reside there (Morgan and Griffiths, 2015)."
schemas correspond,PERSON,1,,,istent benefit. Genetic algorithms work best when schemas correspond to meaningful components of a solution. For examp
Marler,ORG,1,,,"thin the broad landscape of optimization methods (Marler and Arora, 2004), particularly for complex struct"
Miikkulainen,PERSON,2,,,"volving the architecture of deep neural networks (Miikkulainen
et al.,
2019). It is not clear how much of the ap"
Continuous Spaces,ORG,2,,,"4.2Local Search in Continuous Spaces
4.2
Local Search in Continuous Spaces
In
Chapter "
Local Search,ORG,1,,,"4.2Local Search in Continuous Spaces
4.2
Local Search in Continuous Spaces
In
Chapter 2
, we explained "
Leibniz,ORG,1,,,", after the development of calculus by Newton and Leibniz."
"←
x
+
α
∇
f
",PERSON,1,,,"ting the current state according to the formula
x
←
x
+
α
∇
f
(
x
)
,
where α (alpha) is a small constant often "
"←
x",PERSON,2,,,"te for the root
x
according to Newton’s formula
x
←
x
−
g
(
x
)
/
g
'
(
x
)
."
Linear,ORG,5,,,Linear programming is probably the most widely studied a
Nondeterministic Actions,ORG,2,,,"4.3Search with Nondeterministic Actions
4.3
Search with Nondeterministic Actions
In
Chapt"
I’m,WORK_OF_ART,1,,," an action. That means that rather than thinking “I’m in state
s
1
and if I do action
a
I’ll end up in "
Left or Right or Suck,WORK_OF_ART,1,,,"rld, for example, at an
OR
node the agent chooses
Left or Right or Suck
. In a nondeterministic environment, branching is"
Vacuum,PERSON,1,,,"abeled on them. Example “a”, Deterministic world: Vacuum world states 1 and 3 are included in the first be"
Dirty,ORG,4,,,"ef state. An arrow labeled open square bracket B, Dirty close square bracket, points to the vacuum world "
Partially Observable Environments,ORG,1,,,"4.4Search in Partially Observable Environments
4.4
Search in Partially Observable Environments
W"
Open,PRODUCT,1,,,"acket ""A"", clean close square bracket, Right, and Open square bracket B, Dirty close square bracket. An "
ERCEPTS,ORG,1,,," sensing is nondeterministic, then we can use a P
ERCEPTS
function that returns a set of possible percepts."
G. An,PERSON,1,,,the first unlabeled node points to a node labeled G. An arrow from the second unlabeled node points to a 
Search Agents and Unknown,ORG,1,,,"4.5Online Search Agents and Unknown Environments
4.5
Online Search Agents and Unknown"
labyrinths,GPE,1,,,"r getting from
A
to
B
. Methods for escaping from labyrinths—required knowledge for aspiring heroes of antiqui"
Node 2,PERSON,2,,,e connected using double-headed arrows labeled 1. Node 2 is shaded in red.
Node 4,PERSON,2,,,Note: The digit 5 in the third node is encircled. Node 4 is shaded in red.
S,PERSON,1,,,"al, because, for each state in the top row except S, backward progress is twice as likely as forward "
Raphson,PERSON,1,,," Indeed, the Newton–Raphson method (Newton, 1671; Raphson, 1690) can be seen as a very efficient local sear"
Lowerre,ORG,1,,,"ming for speech recognition in the H
ARPY
system (Lowerre, 1976). A related algorithm is analyzed in depth "
Ch,PERSON,1,,,"ed algorithm is analyzed in depth by Pearl (1984, Ch. 5)."
Minton,PERSON,2,,,"nstraint-satisfaction problems such as
n
-queens (Minton
et al."
Selman,PERSON,2,,,", 1992) and Boolean satisfiability (Selman
et al."
Christos Papadimitriou,PERSON,1,,, and other improvements. This renaissance of what Christos Papadimitriou has called “New Age” algorithms also sparked incr
New Age,WORK_OF_ART,1,,,ssance of what Christos Papadimitriou has called “New Age” algorithms also sparked increased interest among
Koutsoupias,PERSON,1,,,"d interest among theoretical computer scientists (Koutsoupias and Papadimitriou, 1992; Aldous and Vazirani, 199"
Papadimitriou,PERSON,2,,," theoretical computer scientists (Koutsoupias and Papadimitriou, 1992; Aldous and Vazirani, 1994)."
Vazirani,PERSON,1,,," (Koutsoupias and Papadimitriou, 1992; Aldous and Vazirani, 1994)."
Glover,PRODUCT,1,,,"limbing called
tabu search
has gained popularity (Glover and Laguna, 1997). This algorithm maintains a tab"
Laguna,GPE,1,,,"led
tabu search
has gained popularity (Glover and Laguna, 1997). This algorithm maintains a tabu list of
k"
Stützle,PERSON,2,,,"verage, than a single run to completion. Hoos and Stützle (2004) provide a book-length coverage of the topi"
Kirkpatrick,GPE,2,,,"Simulated annealing was first described by Kirkpatrick
et al."
Metropolis,PERSON,2,,,"(1983), who borrowed directly from the
Metropolis algorithm
(which is used to simulate complex syst"
Los Alamos,GPE,1,,,",1953) and was supposedly invented at a Los Alamos dinner party). Simulated annealing is now a field"
Dias,PERSON,1,,,"ll climbing); economics (market-based algorithms (Dias
et al."
Li,PERSON,1,,,", 2006)); physics (particle swarms (Li and Yao, 2012) and spin glasses (Mézard
et al."
Yao,PERSON,1,,,", 2006)); physics (particle swarms (Li and Yao, 2012) and spin glasses (Mézard
et al."
grey wolf,PERSON,1,,," 1987)); animal behavior (reinforcement learning, grey wolf optimizers (Mirjalili and Lewis, 2014)); ornithol"
Mirjalili and Lewis,ORG,1,,,"or (reinforcement learning, grey wolf optimizers (Mirjalili and Lewis, 2014)); ornithology (Cuckoo search (Yang and Deb"
Cuckoo,ORG,1,,,"mizers (Mirjalili and Lewis, 2014)); ornithology (Cuckoo search (Yang and Deb, 2014)); entomology (ant col"
Yang,PERSON,2,,,"li and Lewis, 2014)); ornithology (Cuckoo search (Yang and Deb, 2014)); entomology (ant colony (Dorigo
e"
Dorigo,ORG,1,,,"ch (Yang and Deb, 2014)); entomology (ant colony (Dorigo
et al."
bee colony,PERSON,1,,,", 2008), bee colony (Karaboga and Basturk, 2007), firefly (Yang, 2009"
Karaboga,PERSON,1,,,", 2008), bee colony (Karaboga and Basturk, 2007), firefly (Yang, 2009) and glow"
Basturk,GPE,1,,,", 2008), bee colony (Karaboga and Basturk, 2007), firefly (Yang, 2009) and glowworm (Krishn"
Leonid Kantorovich,PERSON,1,,,first studied systematically by the mathematician Leonid Kantorovich (1939). It was one of the first applications of c
"simplex algorithm
",PERSON,1,,,"s one of the first applications of computers; the
simplex algorithm
(Dantzig, 1949) is still used despite worst-case e"
Dantzig,ORG,1,,,"applications of computers; the
simplex algorithm
(Dantzig, 1949) is still used despite worst-case exponenti"
Karmarkar,PERSON,1,,,l used despite worst-case exponential complexity. Karmarkar (1984) developed the far more efficient family of
Nesterov,PERSON,1,,, general class of convex optimization problems by Nesterov and Nemirovski (1994). Excellent introductions to
Nemirovski,PERSON,2,,,s of convex optimization problems by Nesterov and Nemirovski (1994). Excellent introductions to convex optimiz
Ben-Tal,PERSON,1,,,roductions to convex optimization are provided by Ben-Tal and Nemirovski (2001) and Boyd and Vandenberghe (
Boyd,PERSON,1,,,are provided by Ben-Tal and Nemirovski (2001) and Boyd and Vandenberghe (2004).
Vandenberghe,PERSON,1,,,ded by Ben-Tal and Nemirovski (2001) and Boyd and Vandenberghe (2004).
Sewall Wright,PERSON,1,,,"Work by Sewall Wright (1931) on the concept of a
fitness landscape
was "
Box,PERSON,1,,,"s. In the 1950s, several statisticians, including Box (1957) and Friedman (1959), used evolutionary tec"
Friedman,PERSON,1,,,", several statisticians, including Box (1957) and Friedman (1959), used evolutionary techniques for optimiza"
Rechenberg,PERSON,1,,,"es for optimization problems, but it wasn’t until Rechenberg (1965) introduced
evolution strategies
to solve o"
John Holland,PERSON,1,,,"proach gained popularity. In the 1960s and 1970s, John Holland (1975) championed genetic algorithms, both as a u"
Holland,GPE,1,,,"method to expand our understanding of adaptation (Holland, 1995)."
Langton,GPE,1,,,"The
artificial life
movement (Langton, 1995) took this idea one step further, viewing t"
Conwy Lloyd Morgan,ORG,1,,,"he chapter was proposed roughly simultaneously by Conwy Lloyd Morgan (1896) and James (Baldwin, 1896). Computer simula"
James,PERSON,1,,,"y simultaneously by Conwy Lloyd Morgan (1896) and James (Baldwin, 1896). Computer simulations have helped"
Baldwin,GPE,1,,,"taneously by Conwy Lloyd Morgan (1896) and James (Baldwin, 1896). Computer simulations have helped to clari"
Ackley,ORG,1,,,"larify its implications (Hinton and Nowlan, 1987; Ackley and Littman, 1991; Morgan and Griffiths, 2015). S"
Littman,ORG,1,,,"implications (Hinton and Nowlan, 1987; Ackley and Littman, 1991; Morgan and Griffiths, 2015). Smith and Sza"
Szathmáry,GPE,1,,,"man, 1991; Morgan and Griffiths, 2015). Smith and Szathmáry (1999), Ridley (2004), and Carroll (2007) provide"
Ridley,ORG,1,,,"and Griffiths, 2015). Smith and Szathmáry (1999), Ridley (2004), and Carroll (2007) provide general backgr"
Carroll,ORG,1,,,"). Smith and Szathmáry (1999), Ridley (2004), and Carroll (2007) provide general background on evolution."
Oppacher,ORG,1,,,"c algorithms are slower to converge (O’Reilly and Oppacher, 1994; Mitchell
et al."
Juels,GPE,1,,,", 1996; Juels and Wattenberg, 1996; Baluja, 1997). Such finding"
Wattenberg,GPE,1,,,", 1996; Juels and Wattenberg, 1996; Baluja, 1997). Such findings are not unive"
Baluja,PERSON,1,,,", 1996; Juels and Wattenberg, 1996; Baluja, 1997). Such findings are not universally popular"
GA,ORG,1,,,"h findings are not universally popular within the GA community, but recent attempts within that commun"
Rabani,PERSON,1,,," systems
may also explain the performance of GAs (Rabani
et al.,
1998). There are some impressive practica"
Renner,ORG,1,,,"esign (Lohn
et al.,
2001), computer-aided design (Renner and Ekart, 2003), climate models (Stanislawska
et"
Ekart,ORG,1,,,"
et al.,
2001), computer-aided design (Renner and Ekart, 2003), climate models (Stanislawska
et al.,
2015"
Stanislawska,ORG,1,,," design (Renner and Ekart, 2003), climate models (Stanislawska
et al.,
2015), medicine (Ghaheri
et al.,
2015), a"
Ghaheri,PERSON,1,,,"ate models (Stanislawska
et al.,
2015), medicine (Ghaheri
et al.,
2015), and designing deep neural networks"
John Koza,PERSON,1,,,"in genetic programming was spurred by the work of John Koza (1992, 1994), but it goes back at least to early "
Friedberg,ORG,1,,,"t least to early experiments with machine code by Friedberg (1958) and with finite-state automata by Fogel
et"
Fogel,PERSON,2,,,"riedberg (1958) and with finite-state automata by Fogel
et al."
IEEE Transactions on Evolutionary Computation,ORG,1,,,"The journals
Evolutionary Computation
and
IEEE Transactions on Evolutionary Computation
cover evolutionary algorithms; articles are also "
Complex Systems,ORG,1,,,"olutionary algorithms; articles are also found in
Complex Systems
,
Adaptive Behavior,
and
Artificial Life."
Adaptive Behavior,ORG,1,,,"hms; articles are also found in
Complex Systems
,
Adaptive Behavior,
and
Artificial Life."
Artificial Life,ORG,1,,,"found in
Complex Systems
,
Adaptive Behavior,
and
Artificial Life."
GECCO,ORG,1,,,"
Genetic and Evolutionary
Computation Conference
(GECCO). Good overview texts on genetic algorithms inclu"
Langdon,GPE,1,,,"s include those by Mitchell (1996), Fogel (2000), Langdon and Poli (2002), and Poli
et al."
Poli,PERSON,2,,,"ose by Mitchell (1996), Fogel (2000), Langdon and Poli (2002), and Poli
et al."
"Shakey (Fikes
et al.",WORK_OF_ART,1,,,"projects that used planning techniques, including Shakey (Fikes
et al.,
1972) and F
REDDY
(Michie, 1972). The problems r"
"F
REDDY",PRODUCT,1,,,"niques, including Shakey (Fikes
et al.,
1972) and F
REDDY
(Michie, 1972). The problems received more attent"
Planning and Acting,WORK_OF_ART,1,,,"cation of McDermott’s (1978a) influential article
Planning and Acting."
"Slagle’s S
AINT",PERSON,1,,,"e explicit use of
AND–OR
trees seems to have been Slagle’s S
AINT
program for symbolic integration, mentioned in
Ch"
RAPH,ORG,1,,,"oduced a search algorithm similar to A
ND
-O
R
-G
RAPH
-S
EARCH
. The algorithm was further developed by"
Martelli,PERSON,1,,,ds optimal solutions. AO* was further improved by Martelli and Montanari (1973).
Montanari,ORG,1,,,lutions. AO* was further improved by Martelli and Montanari (1973).
AO,ORG,1,,,AO* is a top-down algorithm; a bottom-up generalizat
McAllester,PERSON,2,,,"*LD, for A* Lightest Derivation (Felzenszwalb and McAllester, 2007). Interest in
AND–OR
search underwent a rev"
Torras,PERSON,1,,,"orithms for finding cyclic solutions (Jimenez and Torras, 2000; Hansen and Zilberstein, 2001) and new tech"
Zilberstein,GPE,1,,,"c solutions (Jimenez and Torras, 2000; Hansen and Zilberstein, 2001) and new techniques inspired by dynamic pro"
Erdmann,ORG,1,,,"e of probabilistic uncertainty (see
Chapter 16
). Erdmann and Mason (1988) studied the problem of robotic m"
Mason,ORG,1,,,"listic uncertainty (see
Chapter 16
). Erdmann and Mason (1988) studied the problem of robotic manipulatio"
Wiegley,PERSON,1,,,"conveyor belt, use the same algorithmic insights (Wiegley
et al.,
1996)."
Nourbakhsh,PERSON,1,,,ally observable search problems by Genesereth and Nourbakhsh (1993). Additional work was done on sensorless pr
Goldman,ORG,1,,,"s problems in the logic-based planning community (Goldman and Boddy, 1996; Smith and Weld, 1998). This work"
Boddy,GPE,1,,,"n the logic-based planning community (Goldman and Boddy, 1996; Smith and Weld, 1998). This work has empha"
Weld,PERSON,1,,,"ing community (Goldman and Boddy, 1996; Smith and Weld, 1998). This work has emphasized concise represen"
Geffner,PERSON,1,,,"ef states, as explained in
Chapter 11
. Bonet and Geffner (2000) introduced the first effective heuristics "
Bryce,PERSON,1,,,"cs for belief-state search; these were refined by Bryce
et al."
Kurien,PERSON,1,,," state, was studied in the planning literature by Kurien
et al."
Hierholzer,PERSON,1,,,outgoing edges) was solved by an algorithm due to Hierholzer (1873).
Yannakakis,GPE,1,,, for exploring a general graph. Papadimitriou and Yannakakis (1991) examined the question of finding paths to 
Lifelong Planning A*,ORG,1,,,"l the plan. Incremental search algorithms such as Lifelong Planning A* (Koenig
et al."
Likhachev,ORG,1,,,", 2004) and D* Lite (Koenig and Likhachev, 2002) deal with this situation."
Koenig,GPE,1,,,"e uninformed case than simple depth-first search (Koenig, 2000). Dasgupta
et al."
Pemberton,ORG,1,,,"d updating within the known portion of the graph (Pemberton and Korf, 1992). As yet, there is no good theoret"
Bulitko,PERSON,1,,, when using heuristic information. Sturtevant and Bulitko (2016) provide an analysis of some pitfalls that 
singleton,GPE,1,,,"Chapter 3
as searching in a belief-state space of singleton belief states."
Hughes,ORG,1,,,"turns to the starting point is only about 0.3405 (Hughes, 1995)."
CSP,ORG,68,,," is called a
constraint satisfaction problem
, or
CSP
."
"rel
〉",PERSON,1,,,". Each constraint
C
j
consists of a pair 〈
scope, rel
〉, where
scope
is a tuple of variables that partici"
Suppose,PERSON,1,,,"5.1.1
Example problem: Map coloring
Suppose that, having tired of Romania, we are looking at "
MAX,ORG,28,,,The first row is labeled MAX (x) and has one square box with nine empty square
MIN,ORG,20,,,The second row is labeled MIN (o) and has nine boxes. The boxes in the second r
TERMINAL,ORG,2,,,ows continue this way and the last row is labeled TERMINAL. The last row shows three boxes representing thre
"x. Row 2: o, o",PERSON,1,,,"d box is filled row-wise as follows. Row 1: x, o, x. Row 2: o, o, x. Row 3: x, x, o. The third box has a utility v"
x. Row,PERSON,1,,,"row-wise as follows. Row 1: x, o, x. Row 2: o, o, x. Row 3: x, x, o. The third box has a utility value of "
